equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
stoxx,stoxx,0,45,0.366187,1.66097,1.67923,0.661705,0.633968,0.629358,0.95808,0.95112
mps,mps,1,46,0.334726,1.00000,1.00000,0.197496,0.204503,0.208019,1.03548,1.05328
mps,i1y,0,46,0.334726,0.45417,0.02678,0.349505,0.349781,0.349975,1.00079,1.00135
mps,ip,0,46,0.334726,0.39595,0.04155,0.0184392,0.0186515,0.0187397,1.01152,1.01630
mps,hicp,0,46,0.334726,0.37363,0.02698,0.0526129,0.0547,0.0554103,1.03967,1.05317
mps,stoxx,0,46,0.334726,0.44313,0.05598,0.00324326,0.00327822,0.00330111,1.01078,1.01784
i1y,mps,1,46,0.334726,1.00000,1.00000,3.61213,3.27666,3.46159,0.90713,0.95832
i1y,i1y,0,46,0.334726,2.09723,2.23369,1.71444,1.65712,1.65387,0.96657,0.96467
i1y,ip,0,46,0.334726,2.71604,2.66540,0.188477,0.163917,0.163395,0.86969,0.86692
i1y,hicp,0,46,0.334726,0.86850,0.70153,0.604192,0.576273,0.593082,0.95379,0.98161
i1y,stoxx,0,46,0.334726,1.73476,1.63808,0.0380414,0.0356361,0.0358878,0.93677,0.94339
ip,mps,1,46,0.334726,1.00000,1.00000,26.2338,21.4119,18.7794,0.81619,0.71584
ip,i1y,0,46,0.334726,0.87307,0.81781,8.76545,8.76725,8.76006,1.00021,0.99939
ip,ip,0,46,0.334726,2.03840,2.27611,1.14202,1.05062,1.00603,0.91997,0.88092
ip,hicp,0,46,0.334726,0.83964,0.84453,4.8409,4.80764,4.7409,0.99313,0.97934
ip,stoxx,0,46,0.334726,0.91495,1.17987,0.242288,0.240776,0.236209,0.99376,0.97491
hicp,mps,1,46,0.334726,1.00000,1.00000,3.91533,1.53127,1.43574,0.39110,0.36670
hicp,i1y,0,46,0.334726,3.99073,4.50470,2.51253,2.41448,2.39675,0.96098,0.95392
hicp,ip,0,46,0.334726,5.12204,5.46407,0.272797,0.154502,0.142393,0.56636,0.52198
hicp,hicp,0,46,0.334726,4.27154,4.03664,0.954328,0.481671,0.491595,0.50472,0.51512
hicp,stoxx,0,46,0.334726,2.61286,2.64842,0.049728,0.0420286,0.0415488,0.84517,0.83552
stoxx,mps,1,46,0.334726,1.00000,1.00000,59.7108,54.1119,50.8088,0.90623,0.85092
stoxx,i1y,0,46,0.334726,1.72787,1.61860,46.5309,46.1305,46.2182,0.99140,0.99328
