dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
sparse,block,3,3,14,1.067968543,0.7838190391,0.3815914286,0.1457620809,0.4246935446,0.7838190391,1.342281389,2.87320303
sparse,block,3,3,15,1.073091045,0.7870743955,0.3832257143,0.1454575648,0.4259339741,0.7870743955,1.345019762,2.896458318
sparse,block,3,3,16,1.072729983,0.7806829068,0.3790142857,0.1419903409,0.4201507235,0.7806829068,1.343825244,2.902571069
sparse,block,3,3,17,1.067189686,0.777742437,0.37772,0.1423544581,0.4195642654,0.777742437,1.336804769,2.873609118
sparse,block,3,3,18,1.072323361,0.7783439082,0.3778685714,0.1398201121,0.4167169974,0.7783439082,1.346248943,2.909647287
sparse,block,3,3,19,1.060884052,0.7691696904,0.3730514286,0.1383995951,0.4118808615,0.7691696904,1.329015294,2.886864478
sparse,block,3,3,20,1.070060914,0.7770914714,0.3763571429,0.1332195037,0.4158892625,0.7770914714,1.337682837,2.88611138
sparse,pooled,1,1,1,0.335942192,0.2921856191,0.02960571429,0.09552005128,0.1912993925,0.2921856191,0.4326415824,0.7211786035
sparse,pooled,1,1,2,0.3241662387,0.2866149834,0.0254,0.09811232781,0.1905099541,0.2866149834,0.4172535108,0.6743953531
sparse,pooled,1,1,3,0.3269534142,0.292074943,0.028,0.1043095718,0.1970117508,0.292074943,0.4192732835,0.6660485456
sparse,pooled,1,1,4,0.3394624302,0.3048449538,0.03499428571,0.1136303736,0.2086429429,0.3048449538,0.4335847942,0.6793187235
sparse,pooled,1,1,5,0.3601200331,0.3251734923,0.04780285714,0.1263172109,0.2251525634,0.3251734923,0.4575992814,0.7091534409
sparse,pooled,1,1,6,0.3871629504,0.3508341626,0.06644857143,0.1424479796,0.2465816417,0.3508341626,0.4881380239,0.7513745882
sparse,pooled,1,1,7,0.4194741218,0.3801830831,0.09097428571,0.1616801348,0.2706504767,0.3801830831,0.5259012625,0.8061953965
sparse,pooled,1,1,8,0.4550222157,0.4124874926,0.1175514286,0.1816401451,0.2966971656,0.4124874926,0.5665417781,0.8676221046
sparse,pooled,1,1,9,0.4916176629,0.4458954679,0.1460971429,0.2023253504,0.3241183155,0.4458954679,0.6095729139,0.9314230165
sparse,pooled,1,1,10,0.5267253898,0.4769595917,0.1733542857,0.2208925638,0.3488077533,0.4769595917,0.6502096839,0.9964208165
sparse,pooled,1,1,11,0.5580653168,0.5067273699,0.1960228571,0.2375883391,0.3719824031,0.5067273699,0.6872497217,1.046836596
sparse,pooled,1,1,12,0.5875673182,0.5330525132,0.21486,0.2531132366,0.393231276,0.5330525132,0.7214012427,1.102378781
sparse,pooled,1,1,13,0.6138331923,0.5572594975,0.2314142857,0.2659276074,0.4118939582,0.5572594975,0.7532899833,1.14836425
sparse,pooled,1,1,14,0.6369962372,0.577340043,0.2461742857,0.2752543659,0.4274757398,0.577340043,0.7808990388,1.19682406
sparse,pooled,1,1,15,0.6582126671,0.5953155636,0.2590542857,0.2846456388,0.4406777183,0.5953155636,0.8055280168,1.242869637
sparse,pooled,1,1,16,0.6780175283,0.6115141628,0.2697257143,0.2914894391,0.4510504867,0.6115141628,0.8301195319,1.286743794
sparse,pooled,1,1,17,0.6928683606,0.6215898949,0.2758628571,0.2941039168,0.4570117336,0.6215898949,0.8507577319,1.32897881
sparse,pooled,1,1,18,0.7056476008,0.6296036476,0.2790485714,0.2883186055,0.4568726124,0.6296036476,0.867894305,1.377339265
sparse,pooled,1,1,19,0.7193425283,0.6335562938,0.2813028571,0.2754600332,0.4510009664,0.6335562938,0.8915740379,1.448097979
sparse,pooled,1,1,20,0.7368603092,0.6336486896,0.2816771429,0.2540328191,0.4377357745,0.6336486896,0.9163666081,1.557791526
sparse,pooled,1,2,1,0.3287235462,0.2852712774,0.02745714286,0.08964641585,0.181867813,0.2852712774,0.4264622056,0.7130112412
sparse,pooled,1,2,2,0.3165880563,0.2790473996,0.02340857143,0.09166505689,0.1812732635,0.2790473996,0.4107149731,0.6647717592
sparse,pooled,1,2,3,0.3192433389,0.2845738234,0.02619714286,0.09728529637,0.1871403933,0.2845738234,0.4131416999,0.65764035
sparse,pooled,1,2,4,0.3308510217,0.2961600863,0.03345428571,0.1056669308,0.1984437522,0.2961600863,0.4261299112,0.6713560212
sparse,pooled,1,2,5,0.3490922869,0.3139632137,0.04579142857,0.1173413878,0.2136077653,0.3139632137,0.4464057331,0.6984836913
sparse,pooled,1,2,6,0.3717678772,0.3348798354,0.06184,0.1307470662,0.2308201925,0.3348798354,0.4721486385,0.736249037
sparse,pooled,1,2,7,0.3967671025,0.3575331376,0.08018571429,0.1442480245,0.2493501646,0.3575331376,0.5009927978,0.7796219715
