instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_sp_1m_adj_kilian,0.003248,0.941,0.936,0.876,0.0082,228,222,2.441,0.000560,0.090,0.008,1.770,1.781,-0.779,0.126,0.371,0.8295,0.163,0.012,1.851,0.645,0.263,0.029,2001-07,-0.936,WEAK
z_sp_1m_adj_kilianfix,0.003451,0.986,0.977,0.955,0.0090,228,221,2.404,0.000869,0.135,0.018,1.809,1.752,-0.678,-0.028,0.406,0.8044,0.195,0.029,1.935,0.675,0.329,0.029,2001-07,-0.888,WEAK
z_sp_1m_raw_sum,0.007031,1.241,1.206,1.455,0.0265,228,205,2.022,0.000749,0.108,0.012,0.679,0.425,-1.240,0.964,0.307,0.8732,-0.039,0.715,4.662,0.543,6.969,0.112,2001-07,-1.454,WEAK
z_sp_1m_raw_kilian,0.006469,1.026,0.988,0.977,0.0172,228,224,1.774,0.002133,0.244,0.059,1.549,0.711,-2.345,-0.375,0.288,0.8858,0.121,0.259,4.105,0.502,4.281,0.313,2001-07,-1.968,WEAK
z_sp_1m_raw_kilianfix,0.006558,1.047,1.005,1.011,0.0170,228,224,1.737,0.002475,0.271,0.074,1.593,0.733,-2.316,-0.373,0.303,0.8760,0.157,0.238,3.850,0.535,3.510,0.305,2001-07,-1.814,WEAK
z_sp_3m_sum,-0.002149,-0.286,-0.314,0.099,0.0016,228,217,1.607,-0.001943,-0.247,0.061,0.302,-0.803,-0.053,-0.470,0.379,0.8241,-0.071,0.066,0.063,1.770,8.468,0.017,2001-09,-0.740,WEAK
z_sp_3m_kilian,-0.000093,-0.012,-0.013,0.000,0.0000,228,228,1.236,0.000199,0.020,0.000,0.270,-0.413,-0.178,-1.993,0.546,0.7021,0.211,0.038,0.057,0.408,2.368,0.049,2008-10,-0.554,WEAK
z_sp_3m_kilianfix,-0.000029,-0.004,-0.004,0.000,0.0000,228,228,1.224,0.000259,0.027,0.001,0.230,-0.324,-0.226,-2.034,0.559,0.6926,0.226,0.052,0.048,0.308,1.427,0.044,2008-10,-0.566,WEAK
z_sp_1y_sum,0.001184,0.221,0.274,0.075,0.0013,228,221,2.646,0.005578,0.860,0.740,0.460,-0.953,-1.063,0.264,0.608,0.6567,-0.074,0.098,0.012,0.008,0.167,0.312,2008-11,0.858,WEAK
z_sp_1y_kilian,0.005553,1.396,1.322,1.749,0.0171,228,228,2.060,0.012953,1.505,2.264,0.545,0.031,-1.240,0.072,0.959,0.4285,0.228,0.765,0.817,1.130,0.560,0.027,2008-11,0.761,WEAK
z_sp_1y_kilianfix,0.005572,1.504,1.372,1.883,0.0171,228,228,2.049,0.013069,1.519,2.307,0.552,0.133,-1.216,0.055,0.965,0.4254,0.243,0.679,1.035,1.331,0.449,0.060,2008-11,0.701,WEAK
z_gcs_1m_adj_sum,0.004115,2.499,2.534,6.423,0.0407,228,215,4.282,-0.000897,-0.363,0.132,-1.397,-0.124,0.107,-0.476,1.112,0.3489,-0.197,4.835,6.822,0.634,8.105,1.646,2001-07,-0.415,WEAK
z_gcs_1m_adj_kilian,0.004898,2.356,2.319,5.378,0.0365,228,227,3.407,-0.001044,-0.315,0.099,0.042,-0.692,0.132,-2.055,1.445,0.2163,0.079,3.392,5.035,0.111,12.477,2.445,2011-08,0.409,WEAK
z_gcs_1m_adj_kilianfix,0.004855,2.249,2.222,4.938,0.0336,228,227,3.300,-0.001201,-0.351,0.123,0.361,-0.767,0.129,-2.186,1.521,0.1930,0.129,2.942,4.386,0.059,12.084,2.244,2011-08,0.414,WEAK
z_gcs_1m_raw_sum,0.005715,2.714,2.771,7.677,0.0601,228,214,3.748,-0.000470,-0.160,0.026,-1.746,-0.820,0.169,-1.282,1.619,0.1664,-0.269,7.286,8.125,0.262,22.959,4.875,2001-07,-0.457,WEAK
z_gcs_1m_raw_kilian,0.006441,2.654,2.655,7.049,0.0488,228,227,2.997,-0.000880,-0.241,0.058,-0.755,-1.288,-0.020,-2.500,2.026,0.0879,-0.005,5.245,6.906,0.015,21.692,8.353,2001-07,-0.437,WEAK
z_gcs_1m_raw_kilianfix,0.006406,2.523,2.539,6.445,0.0442,228,227,2.868,-0.001219,-0.320,0.102,-0.440,-1.351,-0.071,-2.602,2.135,0.0737,0.054,4.513,5.958,0.002,21.827,7.554,2011-08,0.390,WEAK
z_gcs_3m_sum,0.006065,2.222,2.433,5.920,0.0651,228,226,3.677,0.002927,0.758,0.574,-2.448,-1.263,0.138,-0.046,1.603,0.1705,-0.186,13.807,4.622,0.170,17.357,2.058,2008-11,-0.683,WEAK
z_gcs_3m_kilian,0.009079,2.775,3.143,9.880,0.0930,228,228,2.935,0.005814,1.147,1.316,-1.775,-1.945,-0.081,-1.118,2.262,0.0599,0.043,27.984,8.204,1.357,17.441,3.201,2008-11,-0.694,WEAK
z_gcs_3m_kilianfix,0.009413,2.834,3.193,10.197,0.0919,228,228,2.814,0.006011,1.152,1.327,-1.579,-2.067,-0.165,-1.247,2.364,0.0507,0.079,27.067,8.374,1.615,17.021,3.044,2008-11,-0.649,above 10 only
z_gcs_1y_sum,0.003138,2.120,2.128,4.529,0.0338,228,227,5.121,0.002547,1.125,1.266,-2.706,-1.466,-0.197,-0.166,2.110,0.0767,-0.035,6.108,3.256,0.222,9.765,0.463,2008-07,-0.481,WEAK
z_gcs_1y_kilian,0.004835,2.741,2.932,8.598,0.0581,228,228,4.355,0.004238,1.803,3.253,-2.159,-1.892,-0.809,-0.575,2.820,0.0236,0.129,9.153,6.957,1.911,8.645,0.665,2011-08,0.488,WEAK
z_gcs_1y_kilianfix,0.004926,2.690,2.945,8.671,0.0565,228,228,4.217,0.004354,1.792,3.210,-1.958,-2.001,-0.953,-0.610,2.880,0.0213,0.166,9.280,6.747,2.161,8.140,0.641,2011-08,0.485,WEAK
z_gc_1m_adj_jk_sum,0.003781,1.095,1.041,1.083,0.0110,228,99,2.423,-0.006140,-0.983,0.966,-1.890,-1.574,0.695,-1.149,1.804,0.1248,-0.107,5.684,0.735,0.504,26.421,4.789,2008-11,-0.760,WEAK
