instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,33,0.119831,-0.227540,0.467202
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,34,0.117872,-0.180962,0.416706
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,35,0.117008,-0.187394,0.421411
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,36,0.120381,-0.193725,0.434487
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,37,0.122152,-0.157375,0.401680
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,38,0.120320,-0.144047,0.384686
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,39,0.121035,-0.124976,0.367046
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,40,0.120986,-0.100406,0.342378
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,41,0.120751,-0.118843,0.360345
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,42,0.121066,-0.126006,0.368139
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,43,0.120991,-0.131325,0.373308
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,44,0.119771,-0.128692,0.368235
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,45,0.116695,-0.130397,0.363786
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,46,0.111598,-0.135020,0.358216
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,47,0.101686,-0.138413,0.341786
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,48,0.093512,-0.166223,0.353248
z_gcs_1m_adj_sum,BLP-FMAR,ip,0,0.829307,0.650815,1.015039
z_gcs_1m_adj_sum,BLP-FMAR,ip,1,1.163630,0.835790,1.491471
z_gcs_1m_adj_sum,BLP-FMAR,ip,2,1.467967,0.844208,2.091726
z_gcs_1m_adj_sum,BLP-FMAR,ip,3,1.721056,0.747447,2.694665
z_gcs_1m_adj_sum,BLP-FMAR,ip,4,1.825221,0.770494,2.879947
z_gcs_1m_adj_sum,BLP-FMAR,ip,5,1.830069,0.757275,2.902862
z_gcs_1m_adj_sum,BLP-FMAR,ip,6,1.766341,0.751382,2.781299
z_gcs_1m_adj_sum,BLP-FMAR,ip,7,1.653729,0.839963,2.467496
z_gcs_1m_adj_sum,BLP-FMAR,ip,8,1.542622,0.628197,2.457046
z_gcs_1m_adj_sum,BLP-FMAR,ip,9,1.440425,0.356388,2.524461
z_gcs_1m_adj_sum,BLP-FMAR,ip,10,1.353974,0.119910,2.588038
z_gcs_1m_adj_sum,BLP-FMAR,ip,11,1.256024,-0.159233,2.671281
z_gcs_1m_adj_sum,BLP-FMAR,ip,12,1.138436,-0.302023,2.578896
z_gcs_1m_adj_sum,BLP-FMAR,ip,13,1.019190,-0.381932,2.420312
z_gcs_1m_adj_sum,BLP-FMAR,ip,14,0.870009,-0.521984,2.262002
z_gcs_1m_adj_sum,BLP-FMAR,ip,15,0.716497,-0.679848,2.112842
z_gcs_1m_adj_sum,BLP-FMAR,ip,16,0.565397,-0.819304,1.950097
z_gcs_1m_adj_sum,BLP-FMAR,ip,17,0.411741,-1.039831,1.863313
z_gcs_1m_adj_sum,BLP-FMAR,ip,18,0.266028,-1.148550,1.680606
z_gcs_1m_adj_sum,BLP-FMAR,ip,19,0.123999,-1.392593,1.640591
z_gcs_1m_adj_sum,BLP-FMAR,ip,20,0.006596,-1.392775,1.405967
z_gcs_1m_adj_sum,BLP-FMAR,ip,21,-0.112484,-1.375691,1.150724
z_gcs_1m_adj_sum,BLP-FMAR,ip,22,-0.237846,-1.428580,0.952888
z_gcs_1m_adj_sum,BLP-FMAR,ip,23,-0.336421,-1.398658,0.725816
z_gcs_1m_adj_sum,BLP-FMAR,ip,24,-0.457306,-1.434395,0.519782
z_gcs_1m_adj_sum,BLP-FMAR,ip,25,-0.557988,-1.657958,0.541983
z_gcs_1m_adj_sum,BLP-FMAR,ip,26,-0.618870,-1.793656,0.555915
z_gcs_1m_adj_sum,BLP-FMAR,ip,27,-0.695848,-1.794252,0.402555
z_gcs_1m_adj_sum,BLP-FMAR,ip,28,-0.729381,-2.051871,0.593108
z_gcs_1m_adj_sum,BLP-FMAR,ip,29,-0.721369,-2.234189,0.791451
z_gcs_1m_adj_sum,BLP-FMAR,ip,30,-0.718512,-2.388301,0.951278
z_gcs_1m_adj_sum,BLP-FMAR,ip,31,-0.689004,-2.425778,1.047769
z_gcs_1m_adj_sum,BLP-FMAR,ip,32,-0.686934,-2.221066,0.847198
z_gcs_1m_adj_sum,BLP-FMAR,ip,33,-0.667162,-2.192059,0.857736
z_gcs_1m_adj_sum,BLP-FMAR,ip,34,-0.661976,-1.898140,0.574187
z_gcs_1m_adj_sum,BLP-FMAR,ip,35,-0.660455,-1.862054,0.541144
z_gcs_1m_adj_sum,BLP-FMAR,ip,36,-0.631427,-1.719493,0.456640
z_gcs_1m_adj_sum,BLP-FMAR,ip,37,-0.601820,-1.662336,0.458696
z_gcs_1m_adj_sum,BLP-FMAR,ip,38,-0.587264,-1.696999,0.522472
z_gcs_1m_adj_sum,BLP-FMAR,ip,39,-0.551058,-1.492294,0.390179
z_gcs_1m_adj_sum,BLP-FMAR,ip,40,-0.531848,-1.195407,0.131712
z_gcs_1m_adj_sum,BLP-FMAR,ip,41,-0.511261,-1.284171,0.261649
z_gcs_1m_adj_sum,BLP-FMAR,ip,42,-0.485720,-1.202216,0.230775
z_gcs_1m_adj_sum,BLP-FMAR,ip,43,-0.467841,-1.213786,0.278104
z_gcs_1m_adj_sum,BLP-FMAR,ip,44,-0.435060,-1.094037,0.223918
z_gcs_1m_adj_sum,BLP-FMAR,ip,45,-0.426698,-1.056957,0.203561
z_gcs_1m_adj_sum,BLP-FMAR,ip,46,-0.390213,-1.063186,0.282759
z_gcs_1m_adj_sum,BLP-FMAR,ip,47,-0.370578,-1.022401,0.281246
z_gcs_1m_adj_sum,BLP-FMAR,ip,48,-0.362342,-1.122651,0.397966
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,0,0.078852,0.027978,0.122671
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,1,0.126029,0.006737,0.245322
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,2,0.168973,-0.011870,0.349816
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,3,0.198166,-0.017777,0.414109
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,4,0.220664,0.015152,0.426176
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,5,0.251635,0.033774,0.469496
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,6,0.282472,0.075908,0.489036
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,7,0.302589,0.066639,0.538538
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,8,0.312873,0.045583,0.580163
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,9,0.311705,0.037688,0.585722
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,10,0.303471,0.052081,0.554862
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,11,0.287536,0.023591,0.551480
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,12,0.267179,-0.012639,0.546996
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,13,0.244078,-0.056856,0.545011
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,14,0.221218,-0.116138,0.558574
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,15,0.205236,-0.149098,0.559570
z_gcs_1m_adj_sum,BLP-FMAR,hicp_yoy,16,0.187073,-0.173378,0.547524
