instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,42,-0.088262,-0.228491,0.051967
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,43,-0.081769,-0.192111,0.028572
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,44,-0.074244,-0.167750,0.019263
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,45,-0.067519,-0.153787,0.018749
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,46,-0.062801,-0.158625,0.033023
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,47,-0.062882,-0.168571,0.042807
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,48,-0.062912,-0.164922,0.039098
z_gcs_1m_adj_sum,BLP-FMAR,ip,0,0.835560,0.591948,1.059568
z_gcs_1m_adj_sum,BLP-FMAR,ip,1,1.087668,0.790343,1.384992
z_gcs_1m_adj_sum,BLP-FMAR,ip,2,1.358990,0.815110,1.902870
z_gcs_1m_adj_sum,BLP-FMAR,ip,3,1.555289,0.666959,2.443620
z_gcs_1m_adj_sum,BLP-FMAR,ip,4,1.626517,0.696993,2.556042
z_gcs_1m_adj_sum,BLP-FMAR,ip,5,1.618636,0.678525,2.558747
z_gcs_1m_adj_sum,BLP-FMAR,ip,6,1.560219,0.630445,2.489992
z_gcs_1m_adj_sum,BLP-FMAR,ip,7,1.430073,0.698778,2.161367
z_gcs_1m_adj_sum,BLP-FMAR,ip,8,1.301990,0.486119,2.117861
z_gcs_1m_adj_sum,BLP-FMAR,ip,9,1.184628,0.296019,2.073237
z_gcs_1m_adj_sum,BLP-FMAR,ip,10,1.092046,0.186661,1.997431
z_gcs_1m_adj_sum,BLP-FMAR,ip,11,0.978564,-0.061688,2.018817
z_gcs_1m_adj_sum,BLP-FMAR,ip,12,0.879881,-0.126220,1.885982
z_gcs_1m_adj_sum,BLP-FMAR,ip,13,0.806183,-0.232108,1.844473
z_gcs_1m_adj_sum,BLP-FMAR,ip,14,0.657799,-0.392627,1.708226
z_gcs_1m_adj_sum,BLP-FMAR,ip,15,0.490313,-0.592781,1.573406
z_gcs_1m_adj_sum,BLP-FMAR,ip,16,0.332243,-0.811515,1.476000
z_gcs_1m_adj_sum,BLP-FMAR,ip,17,0.173234,-1.019496,1.365964
z_gcs_1m_adj_sum,BLP-FMAR,ip,18,0.007476,-1.095818,1.110769
z_gcs_1m_adj_sum,BLP-FMAR,ip,19,-0.160378,-1.343536,1.022779
z_gcs_1m_adj_sum,BLP-FMAR,ip,20,-0.295536,-1.266923,0.675851
z_gcs_1m_adj_sum,BLP-FMAR,ip,21,-0.425992,-1.263628,0.411645
z_gcs_1m_adj_sum,BLP-FMAR,ip,22,-0.609059,-1.317093,0.098974
z_gcs_1m_adj_sum,BLP-FMAR,ip,23,-0.741719,-1.388715,-0.094722
z_gcs_1m_adj_sum,BLP-FMAR,ip,24,-0.966990,-1.800697,-0.133283
z_gcs_1m_adj_sum,BLP-FMAR,ip,25,-1.119553,-2.246731,0.007626
z_gcs_1m_adj_sum,BLP-FMAR,ip,26,-1.199765,-2.692479,0.292949
z_gcs_1m_adj_sum,BLP-FMAR,ip,27,-1.314557,-2.943787,0.314672
z_gcs_1m_adj_sum,BLP-FMAR,ip,28,-1.354177,-3.377849,0.669494
z_gcs_1m_adj_sum,BLP-FMAR,ip,29,-1.325852,-3.535765,0.884061
z_gcs_1m_adj_sum,BLP-FMAR,ip,30,-1.314530,-3.576972,0.947912
z_gcs_1m_adj_sum,BLP-FMAR,ip,31,-1.253977,-3.471700,0.963745
z_gcs_1m_adj_sum,BLP-FMAR,ip,32,-1.221281,-3.108354,0.665793
z_gcs_1m_adj_sum,BLP-FMAR,ip,33,-1.188513,-2.994745,0.617719
z_gcs_1m_adj_sum,BLP-FMAR,ip,34,-1.132492,-2.692498,0.427514
z_gcs_1m_adj_sum,BLP-FMAR,ip,35,-1.112694,-2.622425,0.397037
z_gcs_1m_adj_sum,BLP-FMAR,ip,36,-1.065845,-2.427699,0.296008
z_gcs_1m_adj_sum,BLP-FMAR,ip,37,-1.023313,-2.525615,0.478990
